0,0.023,0.025,0.059,0.062,0.029,0.052,0.0076
30,0.042,0.041,0.08,0.107,0.045,0.054,0.0206
60,0.087,0.078,0.133,0.184,0.076,0.085,0.0603
90,0.183,0.169,0.228,0.325,0.146,0.143,0.169
120,0.344,0.325,0.378,0.509,0.247,0.245,0.409
150,0.596,0.551,0.612,0.776,0.379,0.380,0.812
180,0.775,0.720,0.821,1.020,0.532,0.546,1.688
210,0.796,0.739,0.794,1.237,0.668,0.739,2.558
240,0.810,0.756,0.898,1.388,0.724,0.926,3.805
270,0.829,0.796,0.976,1.475,0.761,1.103,4.944
300,0.861,0.846,1.064,1.516,0.812,1.241,5.560
330,0.924,0.924,1.170,1.543,0.866,1.320,6.424
360,0.988,0.982,1.26,1.547,0.951,1.356,6.4245
390,1.080,1.089,1.385,1.552,1.050,1.381,6.424
420,1.143,1.160,1.465,1.558,1.148,1.397,6.424
